trait_no,try_no,kernel_name,nfolds,R2_test
31,6,2,10,0.485
31,7,2,10,0.491
31,8,2,10,0.496
31,9,2,10,0.484
31,10,2,10,0.492
32,1,1,10,0.586
32,2,1,10,0.569
32,3,1,10,0.579
32,4,1,10,0.572
32,5,1,10,0.589
32,6,1,10,0.573
32,7,1,10,0.592
32,8,1,10,0.594
32,9,1,10,0.587
32,10,1,10,0.581
32,1,2,10,0.615
32,2,2,10,0.606
32,3,2,10,0.605
32,4,2,10,0.612
32,5,2,10,0.614
32,6,2,10,0.61
32,7,2,10,0.621
32,8,2,10,0.618
32,9,2,10,0.622
32,10,2,10,0.609
33,1,1,10,0.324
33,2,1,10,0.337
33,3,1,10,0.323
33,4,1,10,0.33
33,5,1,10,0.331
33,6,1,10,0.34
33,7,1,10,0.325
33,8,1,10,0.339
33,9,1,10,0.329
33,10,1,10,0.332
33,1,2,10,0.009
33,2,2,10,0.006
33,3,2,10,0.005
33,4,2,10,0.015
33,5,2,10,0.002
33,6,2,10,0.002
33,7,2,10,0.007
33,8,2,10,0.004
33,9,2,10,0.006
33,10,2,10,0.012
34,1,1,10,0.496
34,2,1,10,0.477
34,3,1,10,0.488
34,4,1,10,0.485
34,5,1,10,0.486
34,6,1,10,0.483
34,7,1,10,0.461
34,8,1,10,0.479
34,9,1,10,0.482
34,10,1,10,0.472
34,1,2,10,0.001
34,2,2,10,0.004
34,3,2,10,0.009
34,4,2,10,0.003
34,5,2,10,0.005
34,6,2,10,0.002
34,7,2,10,0.001
34,8,2,10,0.003
34,9,2,10,0
34,10,2,10,0.012
35,1,1,10,0.251
35,2,1,10,0.316
35,3,1,10,0.304
35,4,1,10,0.314
35,5,1,10,0.322
35,6,1,10,0.312
35,7,1,10,0.322
35,8,1,10,0.323
35,9,1,10,0.322
35,10,1,10,0.282
35,1,2,10,0.017
35,2,2,10,0.007
35,3,2,10,0.012
35,4,2,10,0.005
35,5,2,10,0.004
35,6,2,10,0.014
35,7,2,10,0.006
35,8,2,10,0.006
35,9,2,10,0.006
35,10,2,10,0.012
36,1,1,10,0.495
36,2,1,10,0.501
36,3,1,10,0.503
36,4,1,10,0.504
36,5,1,10,0.505
36,6,1,10,0.5
36,7,1,10,0.495
36,8,1,10,0.494
36,9,1,10,0.498
36,10,1,10,0.499
36,1,2,10,0.001
36,2,2,10,0.112
36,3,2,10,0.002
36,4,2,10,0.195
36,5,2,10,0.164
36,6,2,10,0.097
36,7,2,10,0.006
36,8,2,10,0.093
36,9,2,10,0.027
36,10,2,10,0.116
37,1,1,10,0.274
37,2,1,10,0.277
37,3,1,10,0.29
37,4,1,10,0.3
37,5,1,10,0.284
37,6,1,10,0.292
37,7,1,10,0.289
37,8,1,10,0.289
